"Story","Title","Result","Date","Stability","Duration (s)"
"End to End testing of booking data","Create Token for updating and deleting data","SUCCESS","2022-06-20T21:03:23.351+01:00[Europe/London]","0.0","0.54"
"End to End testing of booking data","Create a new booking data & verify if the booking is added","SUCCESS","2022-06-20T21:03:23.950+01:00[Europe/London]","0.0","0.46"
"End to End testing of booking data","Verify the booking data are successfully created","SUCCESS","2022-06-20T21:03:24.423+01:00[Europe/London]","0.0","0.45"
"End to End testing of booking data","Update the booking data for given ID","SUCCESS","2022-06-20T21:03:24.896+01:00[Europe/London]","0.0","0.47"
"End to End testing of booking data","Delete the Prodct data for given ID & verify the record are deleted successfully","SUCCESS","2022-06-20T21:03:25.390+01:00[Europe/London]","0.0","0.88"
"Booking curd test","Test001","SUCCESS","2022-06-20T21:03:16.608+01:00[Europe/London]","0.0","3.38"
"Booking curd test","Test002","SUCCESS","2022-06-20T21:03:20.004+01:00[Europe/London]","0.0","0.47"
"Booking curd test","Test003","SUCCESS","2022-06-20T21:03:20.479+01:00[Europe/London]","0.0","0.47"
"Booking curd test","Test004","SUCCESS","2022-06-20T21:03:20.950+01:00[Europe/London]","0.0","0.45"
